"Role Task","Finding ID#","Rule ID#","Severity","Automation Status"
cfg_auth,PANW-NM-000015,SV-77195r1_rule,CAT 2,TBD
cfg_mgmt,PANW-NM-000016,SV-77197r1_rule,CAT 3,Enforcing
cfg_auth,PANW-NM-000023,SV-77199r1_rule,CAT 2,TBD
cfg_sys,PANW-NM-000024,SV-77201r1_rule,CAT 2,TBD
cfg_mgmt,PANW-NM-000029,SV-77203r1_rule,CAT 3,TBD
?,PANW-NM-000042,SV-77205r1_rule,CAT 3,TBD
cfg_sys,PANW-NM-000046,SV-77207r1_rule,CAT 2,TBD
cfg_auth,PANW-NM-000047,SV-77209r1_rule,CAT 2,TBD
cfg_sys,PANW-NM-000051,SV-77211r2_rule,CAT 2,TBD
cfg_pw,PANW-NM-000053,SV-77213r1_rule,CAT 2,Enforcing
cfg_pw,PANW-NM-000054,SV-77215r1_rule,CAT 2,Enforcing
cfg_pw,PANW-NM-000055,SV-77217r1_rule,CAT 2,Enforcing
cfg_pw,PANW-NM-000056,SV-77219r1_rule,CAT 2,Enforcing
cfg_pw,PANW-NM-000057,SV-77221r1_rule,CAT 2,Enforcing
cfg_pw,PANW-NM-000058,SV-77223r1_rule,CAT 2,Enforcing
cfg_pw,PANW-NM-000059,SV-77225r1_rule,CAT 2,Enforcing
cfg_sys,PANW-NM-000061,SV-77227r1_rule,CAT 2,Enforcing
cfg_pw,PANW-NM-000062,SV-77229r1_rule,CAT 2,Enforcing
cfg_pw,PANW-NM-000063,SV-77231r1_rule,CAT 2,Enforcing
cfg_auth,PANW-NM-000069,SV-77233r1_rule,CAT 1,Enforcing
cfg_auth,PANW-NM-000075,SV-77235r1_rule,CAT 2,TBD
cfg_auth,PANW-NM-000092,SV-77237r1_rule,CAT 2,TBD
cfg_mgmt,PANW-NM-000096,SV-77239r1_rule,CAT 3,TBD
cfg_mgmt,PANW-NM-000097,SV-77241r1_rule,CAT 3,TBD
cfg_mgmt,PANW-NM-000098,SV-77243r1_rule,CAT 3,TBD
cfg_mgmt,PANW-NM-000099,SV-77245r1_rule,CAT 3,TBD
cfg_mgmt,PANW-NM-000100,SV-77247r1_rule,CAT 2,TBD
cfg_sys,PANW-NM-000101,SV-77249r1_rule,CAT 2,TBD
cfg_mgmt,PANW-NM-000110,SV-77251r1_rule,CAT 2,TBD
cfg_pw,PANW-NM-000114,SV-77253r1_rule,CAT 2,Enforcing
cfg_mgmt,PANW-NM-000117,SV-77255r1_rule,CAT 2,TBD
?,PANW-NM-000118,SV-77257r1_rule,CAT 1,TBD
?,PANW-NM-000128,SV-77259r1_rule,CAT 2,TBD
?,PANW-NM-000131,SV-77261r1_rule,CAT 2,TBD
cfg_auth,PANW-NM-000136,SV-77263r1_rule,CAT 2,TBD
?,PANW-NM-000141,SV-77267r1_rule,CAT 2,TBD
cfg_auth,PANW-NM-000142,SV-77269r1_rule,CAT 2,TBD
cfg_auth,PANW-NM-000143,SV-77271r1_rule,CAT 1,TBD
cfg_mgmt,PANW-NM-000144,SV-77273r1_rule,CAT 2,Enforcing
cfg_mgmt,PANW-NM-000145,SV-77275r1_rule,CAT 2,TBD
